dist_year,DISTRICT_NAME_left,SCHOOL_NAME,YEAR,GRAD_RATE,DISTRICT_NAME_right,STNAME,Year,Population
BRIDGETON2014,BRIDGETON,Bridgeton High School,2014,71.01,BRIDGETON,New Jersey,2014,25184.0
BRIDGETON2015,BRIDGETON,Bridgeton High School,2015,76.33,BRIDGETON,New Jersey,2015,24916.0
BRIDGETON2016,BRIDGETON,Bridgeton High School,2016,78.78,BRIDGETON,New Jersey,2016,24817.0
BRIDGETON2017,BRIDGETON,Bridgeton High School,2017,73.19,BRIDGETON,New Jersey,2017,24505.0
CLIFTON2014,CLIFTON,Clifton High School,2014,82.25,CLIFTON,New Jersey,2014,86095.0
CLIFTON2015,CLIFTON,Clifton High School,2015,83.96,CLIFTON,New Jersey,2015,86320.0
CLIFTON2016,CLIFTON,Clifton High School,2016,83.79,CLIFTON,New Jersey,2016,86414.0
CLIFTON2017,CLIFTON,Clifton High School,2017,87.14,CLIFTON,New Jersey,2017,86607.0
HOBOKEN2014,HOBOKEN,Hoboken High School,2014,86.78,HOBOKEN,New Jersey,2014,53509.0
HOBOKEN2015,HOBOKEN,Hoboken High School,2015,83.33,HOBOKEN,New Jersey,2015,54033.0
HOBOKEN2016,HOBOKEN,Hoboken High School,2016,86.01,HOBOKEN,New Jersey,2016,55044.0
HOBOKEN2017,HOBOKEN,Hoboken High School,2017,89.92,HOBOKEN,New Jersey,2017,55131.0
PRINCETON2014,PRINCETON,Princeton High School,2014,95.47,PRINCETON,New Jersey,2014,29940.0
PRINCETON2015,PRINCETON,Princeton High School,2015,98.89,PRINCETON,New Jersey,2015,30460.0
PRINCETON2016,PRINCETON,Princeton High School,2016,94.85,PRINCETON,New Jersey,2016,31415.0
PRINCETON2017,PRINCETON,Princeton High School,2017,97.45,PRINCETON,New Jersey,2017,31822.0
SUMMIT2014,SUMMIT,Summit High School,2014,95.5,SUMMIT,New Jersey,2014,22059.0
SUMMIT2015,SUMMIT,Summit High School,2015,96.76,SUMMIT,New Jersey,2015,22133.0
SUMMIT2016,SUMMIT,Summit High School,2016,96.09,SUMMIT,New Jersey,2016,22238.0
SUMMIT2017,SUMMIT,Summit High School,2017,96.17,SUMMIT,New Jersey,2017,22323.0
